epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7069,1.97741,10.2407,2.89788,0.66561,0.76795,0.8246,0.54884,1.45091,4.53361,2.3413,0.00332268,0.00332268,0.00332268
2,54.1635,1.5633,4.86543,2.53143,0.92751,0.92874,0.97118,0.72112,1.13178,2.71864,2.02026,0.00665592,0.00665592,0.00665592
3,79.5031,1.54883,4.53678,2.52463,0.88657,0.88023,0.9477,0.59899,1.69881,3.46421,2.45594,0.00998874,0.00998874,0.00998874
4,104.788,1.56164,4.34447,2.5594,0.9467,0.92331,0.97463,0.68562,1.43843,2.5782,2.20749,0.00999863,0.00999863,0.00999863
5,130.16,1.49542,3.85876,2.5172,0.9415,0.935,0.97114,0.66007,1.58666,2.65468,2.34676,0.00999756,0.00999756,0.00999756
6,155.558,1.44435,3.54132,2.48901,0.93401,0.92449,0.96971,0.64521,1.6403,2.64908,2.35089,0.00999618,0.00999618,0.00999618
7,180.748,1.40981,3.32979,2.45903,0.97312,0.962,0.98666,0.70479,1.4675,2.25804,2.224,0.0099945,0.0099945,0.0099945
8,206.086,1.39459,3.20369,2.4527,0.97495,0.96974,0.98945,0.80534,0.95003,1.8619,1.95787,0.00999252,0.00999252,0.00999252
9,231.415,1.3667,3.08379,2.44331,0.98435,0.96777,0.98938,0.68973,1.56854,2.15933,2.33349,0.00999023,0.00999023,0.00999023
10,256.672,1.34601,3.0004,2.43166,0.97359,0.96043,0.98798,0.74672,1.32351,2.09769,2.16802,0.00998764,0.00998764,0.00998764
11,281.862,1.33106,2.92382,2.41114,0.98926,0.97799,0.9909,0.66593,1.66275,2.1221,2.35557,0.00998474,0.00998474,0.00998474
12,307.28,1.30837,2.81037,2.40045,0.97352,0.97414,0.99037,0.84295,0.84973,1.71806,1.92275,0.00998154,0.00998154,0.00998154
13,332.536,1.30529,2.79874,2.39657,0.98804,0.97479,0.991,0.6125,1.94,2.30624,2.61588,0.00997803,0.00997803,0.00997803
14,357.89,1.27637,2.74504,2.37932,0.98163,0.97413,0.99062,0.81798,0.97948,1.71925,1.96213,0.00997422,0.00997422,0.00997422
15,383.252,1.26561,2.69271,2.36328,0.97986,0.97279,0.99141,0.81063,0.99686,1.67264,1.96245,0.00997011,0.00997011,0.00997011
16,408.538,1.25799,2.64629,2.35998,0.97961,0.95096,0.98442,0.72632,1.35664,2.0872,2.18117,0.00996569,0.00996569,0.00996569
17,433.738,1.23515,2.60374,2.34115,0.98922,0.97494,0.99241,0.7601,1.23409,1.76201,2.10992,0.00996097,0.00996097,0.00996097
18,459.172,1.23534,2.58016,2.34635,0.9899,0.97949,0.99292,0.76879,1.20599,1.72318,2.05111,0.00995594,0.00995594,0.00995594
19,484.385,1.22298,2.56033,2.33789,0.99063,0.9799,0.99235,0.8157,0.9966,1.57801,1.96796,0.00995062,0.00995062,0.00995062
20,509.709,1.20858,2.53597,2.31655,0.99096,0.97915,0.99226,0.80731,1.03994,1.62132,1.93269,0.00994499,0.00994499,0.00994499
21,535.082,1.18781,2.5,2.29667,0.98452,0.97879,0.99109,0.83109,0.87912,1.52215,1.84413,0.00993906,0.00993906,0.00993906
22,560.281,1.1796,2.41743,2.26929,0.97819,0.97333,0.99032,0.87268,0.72582,1.40879,1.73984,0.00993282,0.00993282,0.00993282
23,585.455,1.17782,2.42238,2.26417,0.99245,0.98201,0.99293,0.82699,0.94943,1.50221,1.8668,0.00992629,0.00992629,0.00992629
24,610.767,1.16122,2.39048,2.25233,0.98879,0.97911,0.99335,0.86332,0.79084,1.363,1.7748,0.00991946,0.00991946,0.00991946
25,635.789,1.16359,2.37576,2.2443,0.98658,0.97629,0.99169,0.8399,0.86381,1.37375,1.80854,0.00991232,0.00991232,0.00991232
26,661.01,1.15338,2.36212,2.23898,0.98887,0.97764,0.99246,0.78712,1.15415,1.52585,1.9044,0.00990489,0.00990489,0.00990489
27,686.176,1.14202,2.3188,2.22822,0.99603,0.98064,0.99361,0.84926,0.86058,1.34596,1.79214,0.00989715,0.00989715,0.00989715
28,711.418,1.14541,2.31048,2.2265,0.98899,0.97904,0.9914,0.87554,0.7309,1.30804,1.74589,0.00988912,0.00988912,0.00988912
29,736.609,1.13825,2.29384,2.22156,0.98912,0.98449,0.99353,0.82867,0.96345,1.3788,1.84574,0.00988079,0.00988079,0.00988079
30,761.834,1.13809,2.28258,2.2201,0.99342,0.98165,0.99283,0.83375,0.9265,1.35229,1.7913,0.00987216,0.00987216,0.00987216
31,787.004,1.11631,2.24764,2.19492,0.99338,0.97994,0.99333,0.77724,1.22132,1.49579,1.92089,0.00986323,0.00986323,0.00986323
32,812.174,1.11655,2.25432,2.20105,0.99474,0.98267,0.99411,0.852,0.85986,1.30152,1.77836,0.00985401,0.00985401,0.00985401
33,837.488,1.11361,2.23501,2.20442,0.99379,0.98164,0.99368,0.84253,0.89676,1.33958,1.79233,0.00984449,0.00984449,0.00984449
