epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.547,0.92191,8.34155,2.02445,0.91993,0.88681,0.96053,0.8773,0.57573,2.51941,1.74883,0.00332268,0.00332268,0.00332268
2,53.8287,0.81566,3.3728,1.92466,0.98856,0.96176,0.9868,0.90881,0.54025,1.7269,1.72882,0.00665561,0.00665561,0.00665561
3,79.4253,0.8506,3.13694,1.94313,0.93092,0.91187,0.97322,0.86465,0.64725,2.1704,1.7756,0.00998691,0.00998691,0.00998691
4,104.773,0.87034,2.99231,1.96549,0.95644,0.9629,0.98193,0.88964,0.61096,1.7477,1.76875,0.0099945,0.0099945,0.0099945
5,130.146,0.81892,2.5465,1.93917,0.98433,0.96748,0.99039,0.909,0.56041,1.49495,1.74533,0.00999023,0.00999023,0.00999023
6,155.598,0.78444,2.29941,1.92266,0.98554,0.96902,0.98994,0.92324,0.52962,1.40145,1.7165,0.00998474,0.00998474,0.00998474
7,180.911,0.75578,2.11964,1.90507,0.9915,0.97913,0.99276,0.92871,0.50798,1.25504,1.71175,0.00997803,0.00997803,0.00997803
8,206.3,0.75203,2.04006,1.90611,0.98929,0.978,0.99299,0.92961,0.50979,1.23558,1.70598,0.00997011,0.00997011,0.00997011
9,231.832,0.7196,1.94247,1.88838,0.98527,0.97921,0.99124,0.94312,0.46695,1.16644,1.68695,0.00996097,0.00996097,0.00996097
10,257.201,0.71693,1.88946,1.88686,0.9884,0.97752,0.99061,0.93397,0.4965,1.1576,1.697,0.00995062,0.00995062,0.00995062
11,282.612,0.70499,1.82025,1.88158,0.98966,0.97995,0.9931,0.95053,0.44235,1.09452,1.674,0.00993906,0.00993906,0.00993906
12,308.086,0.69399,1.75544,1.87211,0.99427,0.98004,0.99235,0.9422,0.48176,1.08023,1.69534,0.00992629,0.00992629,0.00992629
13,333.563,0.6931,1.72682,1.87088,0.99183,0.98497,0.99355,0.9451,0.45903,1.09331,1.68613,0.00991232,0.00991232,0.00991232
14,358.04,0.68165,1.70975,1.86716,0.99104,0.98216,0.99351,0.9531,0.42881,1.03429,1.66579,0.00989715,0.00989715,0.00989715
15,382.725,0.66959,1.64843,1.85542,0.99059,0.98275,0.99327,0.95359,0.45135,0.98497,1.66691,0.00988079,0.00988079,0.00988079
16,406.88,0.67183,1.65392,1.86578,0.99193,0.98573,0.99382,0.95116,0.46105,0.98534,1.67884,0.00986323,0.00986323,0.00986323
17,431.065,0.66119,1.60207,1.84796,0.99113,0.98085,0.99333,0.9635,0.40403,0.94227,1.65019,0.00984449,0.00984449,0.00984449
18,455.391,0.65413,1.58662,1.85093,0.99327,0.98334,0.99392,0.95394,0.4498,0.9567,1.66911,0.00982456,0.00982456,0.00982456
19,479.661,0.65448,1.56731,1.85219,0.99102,0.9806,0.99376,0.96527,0.39232,0.92038,1.64496,0.00980345,0.00980345,0.00980345
20,503.758,0.65084,1.55168,1.84644,0.98654,0.98864,0.99391,0.9621,0.41331,0.9096,1.65372,0.00978118,0.00978118,0.00978118
21,528.154,0.65012,1.5416,1.84765,0.99195,0.9801,0.99371,0.96465,0.40666,0.88392,1.64793,0.00975773,0.00975773,0.00975773
22,552.316,0.6453,1.52634,1.84332,0.99313,0.98603,0.99438,0.96853,0.38076,0.88063,1.63377,0.00973312,0.00973312,0.00973312
23,576.549,0.64099,1.5144,1.84138,0.99511,0.98472,0.9942,0.96604,0.402,0.86898,1.65108,0.00970736,0.00970736,0.00970736
24,600.741,0.63435,1.49295,1.84053,0.99596,0.98389,0.99409,0.9665,0.39443,0.87799,1.6492,0.00968045,0.00968045,0.00968045
25,624.88,0.63278,1.47875,1.83714,0.99219,0.98696,0.99455,0.96979,0.38663,0.86183,1.63823,0.00965239,0.00965239,0.00965239
26,649.18,0.63185,1.46582,1.83309,0.99221,0.98794,0.99429,0.97109,0.38109,0.83127,1.63351,0.0096232,0.0096232,0.0096232
27,673.371,0.62386,1.46229,1.82608,0.99199,0.98871,0.99428,0.96736,0.39235,0.83243,1.64348,0.00959289,0.00959289,0.00959289
28,697.629,0.62291,1.44421,1.83084,0.99441,0.98826,0.99446,0.97157,0.37244,0.83047,1.63881,0.00956145,0.00956145,0.00956145
29,721.815,0.62142,1.43392,1.83137,0.99083,0.98981,0.99435,0.97203,0.37853,0.81286,1.63845,0.00952889,0.00952889,0.00952889
30,746.054,0.62418,1.43228,1.83326,0.99594,0.98527,0.99426,0.96965,0.37847,0.81137,1.63502,0.00949524,0.00949524,0.00949524
31,770.2,0.61266,1.40174,1.82032,0.99224,0.98783,0.99422,0.97114,0.37058,0.79007,1.63166,0.00946048,0.00946048,0.00946048
32,794.315,0.62051,1.41429,1.82397,0.99284,0.98867,0.99406,0.97339,0.35487,0.80527,1.61906,0.00942464,0.00942464,0.00942464
33,818.504,0.60952,1.39872,1.81748,0.99418,0.98935,0.99427,0.97492,0.34861,0.77226,1.61305,0.00938772,0.00938772,0.00938772
34,842.664,0.60494,1.38034,1.80909,0.99399,0.98899,0.99441,0.97525,0.34715,0.74158,1.60647,0.00934973,0.00934973,0.00934973
35,866.712,0.60768,1.37868,1.80863,0.99444,0.98653,0.99471,0.97557,0.35784,0.75181,1.61102,0.00931067,0.00931067,0.00931067
36,891.028,0.60232,1.37465,1.80616,0.99331,0.99007,0.99436,0.97458,0.35728,0.74698,1.60867,0.00927057,0.00927057,0.00927057
37,915.399,0.60221,1.36383,1.80259,0.99255,0.99028,0.9942,0.97639,0.33968,0.73289,1.60284,0.00922942,0.00922942,0.00922942
38,939.506,0.59784,1.34184,1.80125,0.99389,0.99016,0.99418,0.97764,0.33588,0.72855,1.60076,0.00918725,0.00918725,0.00918725
39,963.879,0.59955,1.36003,1.80429,0.99223,0.99034,0.99442,0.97778,0.34323,0.71819,1.60157,0.00914405,0.00914405,0.00914405
40,987.97,0.59884,1.34345,1.8042,0.99237,0.98941,0.99438,0.97651,0.34876,0.73419,1.60775,0.00909984,0.00909984,0.00909984
41,1012.14,0.59382,1.34058,1.80161,0.99378,0.98795,0.99436,0.97765,0.33733,0.71574,1.60153,0.00905463,0.00905463,0.00905463
42,1036.43,0.58946,1.32328,1.79705,0.99355,0.99231,0.99454,0.97763,0.34015,0.71002,1.60253,0.00900844,0.00900844,0.00900844
43,1060.52,0.59053,1.32768,1.79195,0.99347,0.99039,0.9945,0.97905,0.33285,0.69856,1.6002,0.00896127,0.00896127,0.00896127
44,1084.74,0.59003,1.32818,1.79885,0.99569,0.98945,0.99459,0.97924,0.33726,0.69621,1.60053,0.00891313,0.00891313,0.00891313
45,1109.04,0.59693,1.32743,1.80098,0.99344,0.99132,0.99431,0.97714,0.33641,0.69354,1.59598,0.00886404,0.00886404,0.00886404
46,1133.18,0.58843,1.30936,1.79467,0.99269,0.99311,0.99466,0.97875,0.32617,0.68012,1.59637,0.00881401,0.00881401,0.00881401
47,1157.5,0.58744,1.31335,1.79508,0.99148,0.99253,0.99451,0.97908,0.32208,0.67937,1.59621,0.00876305,0.00876305,0.00876305
48,1181.74,0.58627,1.29611,1.79679,0.99411,0.99074,0.99458,0.97812,0.33213,0.6888,1.59768,0.00871117,0.00871117,0.00871117
49,1205.98,0.58482,1.2929,1.7978,0.99329,0.98921,0.99454,0.97915,0.3315,0.68634,1.59873,0.00865839,0.00865839,0.00865839
50,1230.02,0.58872,1.30875,1.79279,0.99489,0.99266,0.99465,0.97939,0.33261,0.67144,1.59805,0.00860473,0.00860473,0.00860473
51,1254.21,0.58394,1.29553,1.79319,0.99376,0.99145,0.99451,0.97914,0.32453,0.65853,1.59604,0.00855018,0.00855018,0.00855018
52,1278.44,0.58047,1.29087,1.78928,0.99254,0.99321,0.99464,0.98091,0.32466,0.66137,1.59226,0.00849477,0.00849477,0.00849477
53,1302.5,0.57676,1.26628,1.79253,0.99356,0.99075,0.99466,0.98065,0.32057,0.6597,1.59224,0.00843851,0.00843851,0.00843851
54,1326.76,0.58083,1.2806,1.78952,0.9933,0.99218,0.99456,0.98128,0.32067,0.65779,1.59157,0.00838141,0.00838141,0.00838141
55,1350.89,0.57845,1.28372,1.78878,0.99454,0.99267,0.99456,0.98001,0.32266,0.65583,1.59271,0.00832349,0.00832349,0.00832349
56,1374.98,0.57335,1.25514,1.78861,0.99415,0.99293,0.99453,0.98069,0.32095,0.64416,1.59308,0.00826477,0.00826477,0.00826477
57,1399.26,0.57712,1.26655,1.7881,0.99583,0.99182,0.99463,0.98128,0.3195,0.63731,1.59008,0.00820525,0.00820525,0.00820525
58,1423.34,0.57956,1.26707,1.78684,0.9976,0.98904,0.99446,0.98161,0.3233,0.64098,1.59174,0.00814495,0.00814495,0.00814495
59,1447.4,0.57078,1.26064,1.77622,0.99534,0.99335,0.99473,0.98086,0.31826,0.65593,1.58835,0.00808389,0.00808389,0.00808389
60,1471.63,0.56892,1.24427,1.77567,0.99558,0.9931,0.99483,0.98112,0.31426,0.62168,1.5796,0.00802208,0.00802208,0.00802208
61,1495.6,0.56716,1.23664,1.76884,0.99288,0.99427,0.99466,0.9811,0.31157,0.61595,1.57954,0.00795954,0.00795954,0.00795954
62,1519.69,0.56946,1.24412,1.77569,0.99327,0.99195,0.99467,0.98153,0.30865,0.61012,1.57913,0.00789628,0.00789628,0.00789628
63,1543.89,0.56223,1.21218,1.76769,0.99537,0.99452,0.9947,0.9818,0.30816,0.61111,1.57525,0.00783231,0.00783231,0.00783231
64,1568.03,0.56515,1.22272,1.77137,0.99571,0.99447,0.99473,0.98244,0.30426,0.59891,1.57591,0.00776766,0.00776766,0.00776766
65,1592.18,0.56479,1.22313,1.77373,0.99566,0.99444,0.99472,0.98267,0.30213,0.59261,1.57408,0.00770234,0.00770234,0.00770234
66,1616.35,0.56039,1.21004,1.76711,0.99579,0.99492,0.99476,0.98283,0.30705,0.59874,1.57476,0.00763637,0.00763637,0.00763637
67,1640.45,0.55936,1.21706,1.77118,0.99517,0.99464,0.99472,0.98255,0.30646,0.59923,1.57638,0.00756976,0.00756976,0.00756976
68,1664.58,0.56376,1.21968,1.76599,0.99471,0.99382,0.99473,0.98212,0.30505,0.59254,1.57248,0.00750252,0.00750252,0.00750252
69,1688.7,0.55962,1.20859,1.76615,0.99296,0.99509,0.99466,0.98281,0.30609,0.59149,1.57222,0.00743468,0.00743468,0.00743468
70,1712.92,0.56213,1.20919,1.7653,0.9952,0.99455,0.99467,0.98269,0.30538,0.5848,1.57223,0.00736625,0.00736625,0.00736625
71,1737.01,0.55859,1.20635,1.76619,0.99669,0.99198,0.99465,0.98324,0.30307,0.58409,1.57154,0.00729725,0.00729725,0.00729725
72,1761.17,0.55411,1.19644,1.76421,0.99463,0.99362,0.99468,0.98307,0.30151,0.58304,1.57015,0.0072277,0.0072277,0.0072277
73,1785.34,0.55318,1.18973,1.75853,0.99356,0.99367,0.99466,0.98329,0.29937,0.57886,1.56863,0.00715761,0.00715761,0.00715761
74,1809.39,0.55452,1.20582,1.76087,0.99592,0.99297,0.99469,0.98334,0.2971,0.57926,1.56735,0.007087,0.007087,0.007087
75,1833.62,0.55397,1.18944,1.76238,0.99438,0.99461,0.99469,0.98386,0.29526,0.57137,1.56554,0.00701588,0.00701588,0.00701588
76,1857.75,0.54628,1.17692,1.7573,0.99583,0.99392,0.99468,0.98356,0.29589,0.57389,1.56492,0.00694428,0.00694428,0.00694428
77,1882.18,0.55261,1.18941,1.76511,0.99629,0.99346,0.9947,0.98383,0.29673,0.57546,1.56478,0.00687222,0.00687222,0.00687222
78,1907.73,0.55492,1.18081,1.76464,0.99581,0.99364,0.9947,0.98443,0.29456,0.57365,1.56479,0.0067997,0.0067997,0.0067997
79,1933.12,0.54967,1.17143,1.76053,0.99617,0.99423,0.99474,0.98421,0.29348,0.56798,1.56516,0.00672675,0.00672675,0.00672675
80,1957.57,0.54528,1.16405,1.75391,0.99642,0.99392,0.9947,0.98412,0.29214,0.56196,1.56563,0.00665339,0.00665339,0.00665339
81,1982.01,0.54986,1.15751,1.76124,0.9959,0.99321,0.99472,0.98427,0.2945,0.56714,1.56605,0.00657963,0.00657963,0.00657963
82,2007.91,0.54792,1.1623,1.76289,0.99612,0.99313,0.99471,0.98436,0.29478,0.56781,1.56629,0.0065055,0.0065055,0.0065055
83,2034.09,0.54812,1.1623,1.76154,0.99575,0.99278,0.99472,0.98426,0.29439,0.56445,1.56625,0.00643101,0.00643101,0.00643101
84,2062.07,0.54612,1.1562,1.7578,0.99622,0.99319,0.99472,0.98443,0.29311,0.56112,1.56517,0.00635617,0.00635617,0.00635617
85,2089.91,0.54283,1.16071,1.75606,0.99591,0.99388,0.99472,0.98419,0.29077,0.55996,1.56413,0.00628101,0.00628101,0.00628101
86,2117.99,0.54081,1.14226,1.75869,0.99545,0.99359,0.99472,0.9841,0.29085,0.55731,1.56484,0.00620555,0.00620555,0.00620555
87,2146.17,0.5345,1.12762,1.74929,0.99564,0.99348,0.99473,0.98468,0.29041,0.5558,1.56416,0.00612981,0.00612981,0.00612981
88,2174.13,0.54039,1.13617,1.75205,0.99555,0.99351,0.9945,0.98482,0.28961,0.55451,1.56393,0.0060538,0.0060538,0.0060538
89,2202.14,0.53757,1.14698,1.7529,0.996,0.9927,0.99452,0.98448,0.28928,0.5548,1.56367,0.00597754,0.00597754,0.00597754
90,2230.35,0.53844,1.13543,1.74636,0.99611,0.99377,0.99452,0.98475,0.28857,0.5547,1.56201,0.00590105,0.00590105,0.00590105
91,2258.39,0.5305,1.124,1.74807,0.99627,0.99314,0.9945,0.98481,0.28944,0.5541,1.56261,0.00582435,0.00582435,0.00582435
92,2286.3,0.53472,1.12686,1.75183,0.99642,0.99308,0.9945,0.98499,0.28902,0.55082,1.56277,0.00574746,0.00574746,0.00574746
93,2314.28,0.53738,1.12988,1.74968,0.99631,0.99259,0.99449,0.98498,0.28941,0.55283,1.5626,0.0056704,0.0056704,0.0056704
94,2342.26,0.53841,1.1288,1.7553,0.99655,0.99303,0.99472,0.98481,0.28875,0.55191,1.56273,0.00559318,0.00559318,0.00559318
95,2370.55,0.53622,1.12764,1.7517,0.99642,0.99266,0.9947,0.98515,0.28817,0.54879,1.56244,0.00551584,0.00551584,0.00551584
96,2399.28,0.53532,1.12111,1.74704,0.99577,0.99248,0.9947,0.98523,0.28758,0.5488,1.56217,0.00543837,0.00543837,0.00543837
97,2427.26,0.53145,1.11938,1.75212,0.99657,0.99406,0.99473,0.98542,0.28778,0.54674,1.56223,0.00536081,0.00536081,0.00536081
98,2455.19,0.52728,1.10171,1.74582,0.99622,0.99412,0.99473,0.98537,0.28814,0.54462,1.56286,0.00528318,0.00528318,0.00528318
99,2483.42,0.53246,1.10864,1.74812,0.99524,0.99448,0.99472,0.98544,0.28805,0.54376,1.56275,0.00520548,0.00520548,0.00520548
100,2511.39,0.52578,1.09693,1.74312,0.99597,0.99407,0.99473,0.98551,0.2877,0.54615,1.5623,0.00512775,0.00512775,0.00512775
101,2539.24,0.52649,1.09325,1.74207,0.99591,0.99306,0.99473,0.98548,0.28713,0.54372,1.56218,0.00505,0.00505,0.00505
102,2567.14,0.5305,1.10357,1.74763,0.99596,0.99426,0.99473,0.98571,0.28723,0.54419,1.562,0.00497225,0.00497225,0.00497225
103,2595.08,0.51967,1.08318,1.73786,0.99613,0.99373,0.99473,0.98555,0.28703,0.54189,1.56197,0.00489452,0.00489452,0.00489452
