epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8246,1.8598,9.46527,2.74795,0.80117,0.70126,0.85962,0.63313,1.22363,4.43772,2.11387,0.00332268,0.00332268,0.00332268
2,56.4888,1.42993,4.21195,2.39795,0.88861,0.88931,0.95993,0.73773,1.2171,2.82522,2.04406,0.00665561,0.00665561,0.00665561
3,83.4613,1.43548,3.95566,2.41947,0.77091,0.81178,0.83406,0.63444,1.19613,3.72035,2.11777,0.00998691,0.00998691,0.00998691
4,110.476,1.42728,3.75833,2.45951,0.87441,0.90473,0.94402,0.55978,1.95851,3.24707,2.68648,0.0099945,0.0099945,0.0099945
5,137.363,1.34889,3.24692,2.3995,0.93493,0.90939,0.96737,0.77974,1.00315,2.29893,2.03417,0.00999023,0.00999023,0.00999023
6,164.291,1.30591,2.98639,2.39099,0.98592,0.95696,0.98715,0.74764,1.2218,2.06638,2.12366,0.00998474,0.00998474,0.00998474
7,191.256,1.2539,2.76287,2.33731,0.97635,0.95821,0.98689,0.82423,0.87794,1.83489,1.9386,0.00997803,0.00997803,0.00997803
8,218.411,1.23952,2.66011,2.33441,0.9843,0.96051,0.98866,0.80761,1.0069,1.76256,1.97534,0.00997011,0.00997011,0.00997011
9,245.932,1.19581,2.53754,2.30731,0.98484,0.96968,0.99097,0.82948,0.90161,1.64452,1.92442,0.00996097,0.00996097,0.00996097
10,273.082,1.17802,2.48251,2.30031,0.97986,0.95491,0.98911,0.83968,0.8349,1.66646,1.92006,0.00995062,0.00995062,0.00995062
11,300.178,1.16586,2.43086,2.29619,0.96495,0.91082,0.9762,0.74082,1.28229,2.22074,2.17539,0.00993906,0.00993906,0.00993906
12,327.367,1.1538,2.36253,2.28472,0.98644,0.97215,0.99178,0.79281,1.10008,1.66411,2.00685,0.00992629,0.00992629,0.00992629
13,354.356,1.12109,2.29414,2.25584,0.98197,0.97041,0.99111,0.78217,1.17365,1.6838,2.06062,0.00991232,0.00991232,0.00991232
14,381.307,1.11997,2.27426,2.26014,0.9857,0.97729,0.98997,0.7729,1.2139,1.66023,2.07334,0.00989715,0.00989715,0.00989715
15,408.251,1.11489,2.25407,2.2554,0.93662,0.92344,0.9813,0.83964,0.80104,1.91952,1.89702,0.00988079,0.00988079,0.00988079
16,435.027,1.0915,2.22257,2.23149,0.98241,0.96644,0.98933,0.84899,0.81168,1.47692,1.87472,0.00986323,0.00986323,0.00986323
17,461.873,1.07638,2.13936,2.22757,0.9837,0.96499,0.99078,0.852,0.81794,1.45266,1.87853,0.00984449,0.00984449,0.00984449
18,488.747,1.06032,2.12235,2.21005,0.87034,0.51481,0.71072,0.5872,1.21466,8.03077,2.58969,0.00982456,0.00982456,0.00982456
19,515.493,1.06155,2.10959,2.20979,0.99173,0.9524,0.98806,0.82427,0.97037,1.55229,1.92709,0.00980345,0.00980345,0.00980345
20,542.182,1.05387,2.10795,2.20854,0.9731,0.94879,0.9869,0.77681,1.18995,1.86384,2.04178,0.00978118,0.00978118,0.00978118
21,568.232,1.04531,2.06021,2.19918,0.99244,0.98083,0.99292,0.84814,0.86579,1.32177,1.85364,0.00975773,0.00975773,0.00975773
22,593.667,1.02414,2.04415,2.18569,0.98695,0.97554,0.99196,0.80175,1.10984,1.48688,1.98419,0.00973312,0.00973312,0.00973312
23,618.948,1.01933,2.01474,2.16934,0.99305,0.98134,0.9937,0.82407,0.95204,1.3655,1.91316,0.00970736,0.00970736,0.00970736
24,644.775,1.00535,1.99472,2.15943,0.98955,0.98528,0.99342,0.87827,0.75114,1.29326,1.82624,0.00968045,0.00968045,0.00968045
25,670.238,0.99131,1.96636,2.15662,0.99234,0.97441,0.99329,0.86916,0.7694,1.30571,1.81888,0.00965239,0.00965239,0.00965239
26,697.112,1.00352,1.99686,2.1713,0.93959,0.81341,0.93381,0.78638,0.95314,3.42176,1.93914,0.0096232,0.0096232,0.0096232
27,723.846,0.99242,1.97849,2.15859,0.98966,0.97985,0.99321,0.87593,0.76045,1.28963,1.82497,0.00959289,0.00959289,0.00959289
28,751.051,0.984,1.93323,2.15014,0.99096,0.98006,0.99253,0.87228,0.77248,1.24681,1.80928,0.00956145,0.00956145,0.00956145
29,777.757,0.96862,1.93858,2.14495,0.98776,0.98237,0.99357,0.88707,0.69812,1.24002,1.79237,0.00952889,0.00952889,0.00952889
30,803.596,0.96315,1.91901,2.13767,0.99412,0.97898,0.9935,0.88362,0.72659,1.21576,1.80725,0.00949524,0.00949524,0.00949524
31,828.945,0.95847,1.89204,2.14006,0.99021,0.98139,0.99401,0.88157,0.73474,1.25196,1.81029,0.00946048,0.00946048,0.00946048
32,854.241,0.96651,1.921,2.14735,0.99318,0.97835,0.99355,0.9031,0.65189,1.17748,1.77758,0.00942464,0.00942464,0.00942464
33,879.974,0.94052,1.85665,2.1254,0.98879,0.98128,0.99331,0.90517,0.64603,1.21921,1.77832,0.00938772,0.00938772,0.00938772
34,905.613,0.94343,1.86028,2.12276,0.99368,0.98335,0.99392,0.88315,0.71305,1.20148,1.7819,0.00934973,0.00934973,0.00934973
