epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9411,1.97888,10.2596,2.87922,0.70759,0.78808,0.82432,0.56027,1.39008,4.14053,2.23471,0.00332268,0.00332268,0.00332268
2,62.433,1.56069,4.84311,2.51029,0.86461,0.87259,0.93688,0.7564,0.94294,2.97651,1.90954,0.00665561,0.00665561,0.00665561
3,92.2204,1.54504,4.51294,2.50556,0.71058,0.63947,0.74412,0.47235,1.85337,5.53539,2.55314,0.00998691,0.00998691,0.00998691
4,121.817,1.55546,4.33598,2.53905,0.92228,0.93489,0.97576,0.70611,1.29398,2.5968,2.11785,0.0099945,0.0099945,0.0099945
5,152.309,1.48929,3.85948,2.49495,0.95136,0.93474,0.97741,0.66391,1.58782,2.47781,2.29601,0.00999023,0.00999023,0.00999023
6,182.921,1.44297,3.50618,2.46225,0.96434,0.94768,0.98112,0.68677,1.52732,2.308,2.16552,0.00998474,0.00998474,0.00998474
7,213.402,1.40938,3.28369,2.43206,0.97326,0.97076,0.98802,0.67103,1.54855,2.34461,2.20509,0.00997803,0.00997803,0.00997803
8,243.924,1.3921,3.16678,2.42632,0.972,0.96161,0.98314,0.71818,1.28877,2.09807,2.10423,0.00997011,0.00997011,0.00997011
9,275.03,1.36983,3.06732,2.41939,0.98307,0.96913,0.99025,0.67721,1.63902,2.13685,2.28138,0.00996097,0.00996097,0.00996097
10,305.618,1.34887,2.99296,2.40524,0.97422,0.95666,0.98797,0.71526,1.44828,2.15493,2.18789,0.00995062,0.00995062,0.00995062
11,336.488,1.32492,2.90067,2.37393,0.98523,0.97325,0.99114,0.79751,1.01811,1.72846,1.92442,0.00993906,0.00993906,0.00993906
12,367.466,1.31194,2.80284,2.3649,0.98084,0.97154,0.98943,0.77207,1.19706,1.83359,2.01535,0.00992629,0.00992629,0.00992629
13,398.171,1.30216,2.77719,2.36594,0.98643,0.97514,0.99078,0.75876,1.23334,1.81046,2.02595,0.00991232,0.00991232,0.00991232
14,427.955,1.27588,2.72924,2.348,0.9806,0.9702,0.99031,0.81659,0.95725,1.67866,1.90018,0.00989715,0.00989715,0.00989715
15,458.184,1.2676,2.6839,2.32811,0.99094,0.97655,0.99204,0.74621,1.28837,1.81184,2.01629,0.00988079,0.00988079,0.00988079
16,487.91,1.25756,2.63075,2.3236,0.98574,0.98114,0.99307,0.79713,1.08799,1.63095,1.90448,0.00986323,0.00986323,0.00986323
17,517.613,1.22906,2.56425,2.28639,0.98479,0.97704,0.99179,0.83892,0.83885,1.4751,1.81743,0.00984449,0.00984449,0.00984449
18,547.499,1.23146,2.54265,2.28669,0.98823,0.97291,0.99153,0.81702,0.95714,1.5872,1.86365,0.00982456,0.00982456,0.00982456
19,577.284,1.21809,2.49007,2.28357,0.98302,0.98109,0.98854,0.82514,0.9503,1.48709,1.83629,0.00980345,0.00980345,0.00980345
20,607.079,1.20148,2.46484,2.25766,0.98235,0.97524,0.99164,0.86636,0.74724,1.40878,1.7576,0.00978118,0.00978118,0.00978118
21,637.023,1.18678,2.45275,2.2497,0.98836,0.97919,0.99294,0.81481,1.00561,1.47789,1.83279,0.00975773,0.00975773,0.00975773
22,666.743,1.1779,2.38452,2.23733,0.97883,0.97087,0.98871,0.87691,0.69183,1.4163,1.74278,0.00973312,0.00973312,0.00973312
23,697.081,1.17862,2.41633,2.23945,0.99277,0.97779,0.99273,0.84674,0.8445,1.38465,1.78766,0.00970736,0.00970736,0.00970736
24,726.814,1.16068,2.36858,2.2265,0.99143,0.97883,0.99322,0.86588,0.78939,1.3271,1.7631,0.00968045,0.00968045,0.00968045
25,756.068,1.15747,2.34807,2.2215,0.98895,0.97714,0.99229,0.88122,0.69743,1.32729,1.75197,0.00965239,0.00965239,0.00965239
26,785.448,1.14699,2.34544,2.21636,0.99157,0.9778,0.99295,0.82513,0.96963,1.41887,1.81718,0.0096232,0.0096232,0.0096232
27,814.943,1.13797,2.29903,2.208,0.98366,0.97938,0.99305,0.88373,0.68145,1.31059,1.73846,0.00959289,0.00959289,0.00959289
28,844.321,1.14424,2.30306,2.20922,0.99298,0.97591,0.99215,0.89269,0.67386,1.28121,1.73525,0.00956145,0.00956145,0.00956145
29,874.484,1.13223,2.27937,2.20169,0.9931,0.97962,0.99285,0.86517,0.78693,1.27499,1.758,0.00952889,0.00952889,0.00952889
30,905.046,1.12794,2.26977,2.19391,0.99326,0.98051,0.99351,0.86086,0.82059,1.32484,1.76683,0.00949524,0.00949524,0.00949524
31,934.926,1.11031,2.23429,2.17144,0.99369,0.97696,0.99246,0.82973,0.97898,1.36634,1.79644,0.00946048,0.00946048,0.00946048
32,965.223,1.11326,2.22938,2.17789,0.9902,0.98167,0.99342,0.85995,0.81258,1.29861,1.75739,0.00942464,0.00942464,0.00942464
33,995.792,1.10502,2.21169,2.17535,0.99335,0.97919,0.99301,0.88308,0.70208,1.25857,1.72517,0.00938772,0.00938772,0.00938772
34,1026.24,1.10192,2.22137,2.17011,0.99256,0.9816,0.99389,0.85189,0.87875,1.29292,1.75857,0.00934973,0.00934973,0.00934973
35,1056.77,1.1009,2.2081,2.15424,0.99015,0.9832,0.99392,0.88299,0.72594,1.18594,1.69677,0.00931067,0.00931067,0.00931067
