epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7883,1.84908,7.2747,2.71292,0.77055,0.78903,0.86069,0.6557,1.11746,2.96129,2.05073,0.00332268,0.00332268,0.00332268
2,50.5766,1.42709,3.22539,2.3737,0.91804,0.90103,0.96727,0.77732,0.93562,1.93767,1.8887,0.00662307,0.00662307,0.00662307
3,74.5896,1.40734,3.02056,2.386,0.87975,0.84314,0.92917,0.69914,1.16522,2.37692,2.07677,0.00989046,0.00989046,0.00989046
4,98.4035,1.40678,2.86553,2.41381,0.81868,0.52922,0.71428,0.44968,1.8278,6.24579,2.71937,0.0098515,0.0098515,0.0098515
5,122.358,1.33818,2.50572,2.37413,0.95733,0.94353,0.98146,0.77667,1.10473,1.66536,2.00726,0.009802,0.009802,0.009802
6,145.955,1.27686,2.26695,2.32972,0.96151,0.94184,0.98153,0.65132,1.69923,1.88435,2.32579,0.0097525,0.0097525,0.0097525
7,169.323,1.23678,2.10333,2.29067,0.78113,0.43555,0.61257,0.3686,2.15426,7.03729,3.03519,0.009703,0.009703,0.009703
8,193.173,1.20434,1.98969,2.26086,0.46034,0.14789,0.30456,0.20481,2.2974,14.8172,3.4892,0.0096535,0.0096535,0.0096535
9,217.954,1.17825,1.90233,2.24006,0.97991,0.96316,0.9849,0.66621,1.62141,1.52845,2.24801,0.009604,0.009604,0.009604
10,243.348,1.14141,1.84524,2.21173,0.98043,0.96614,0.98849,0.82826,0.87842,1.25251,1.87601,0.0095545,0.0095545,0.0095545
11,268.832,1.13824,1.80645,2.21841,0.97085,0.95037,0.98745,0.79258,1.04075,1.47413,1.95323,0.009505,0.009505,0.009505
12,294.593,1.12015,1.74172,2.19739,0.84425,0.81525,0.87646,0.64155,1.42998,2.87318,2.1855,0.0094555,0.0094555,0.0094555
13,319.911,1.09758,1.7019,2.18056,0.8913,0.5987,0.78856,0.6486,0.99841,4.79371,1.95096,0.009406,0.009406,0.009406
