epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1621,1.86273,7.61001,2.80709,0.68244,0.76482,0.76143,0.21352,3.11837,4.70643,4.02497,0.00332268,0.00332268,0.00332268
2,91.6168,1.4638,3.4931,2.39999,0.89623,0.92197,0.96618,0.7439,1.10517,2.02938,1.93835,0.00662307,0.00662307,0.00662307
3,132.194,1.44414,3.12255,2.36909,0.88386,0.83614,0.94422,0.54971,1.8538,2.75586,2.46229,0.00989046,0.00989046,0.00989046
4,172.937,1.45166,3.04096,2.42034,0.90576,0.83384,0.90621,0.59323,1.66092,2.66398,2.29137,0.0098515,0.0098515,0.0098515
5,213.347,1.39252,2.57528,2.3649,0.94165,0.93461,0.96878,0.45467,2.46423,2.46042,2.89187,0.009802,0.009802,0.009802
6,253.406,1.338,2.31426,2.34044,0.97156,0.95598,0.98577,0.6266,1.81322,1.93418,2.28598,0.0097525,0.0097525,0.0097525
7,293.333,1.29846,2.14662,2.29668,0.97768,0.95688,0.98785,0.67477,1.54895,1.71376,2.12732,0.009703,0.009703,0.009703
8,332.907,1.26217,1.97336,2.26921,0.97108,0.95422,0.9818,0.7674,1.08562,1.58263,1.94666,0.0096535,0.0096535,0.0096535
9,373.082,1.24581,1.91244,2.25401,0.97594,0.95821,0.98688,0.72486,1.29945,1.54713,2.03265,0.009604,0.009604,0.009604
10,413.046,1.2229,1.84563,2.2432,0.96492,0.97052,0.98439,0.80669,0.97948,1.36717,1.8671,0.0095545,0.0095545,0.0095545
11,453.045,1.2117,1.79949,2.23086,0.98494,0.95931,0.98894,0.71832,1.37988,1.5075,2.05775,0.009505,0.009505,0.009505
12,493.296,1.19443,1.73942,2.21937,0.98224,0.96569,0.9896,0.82799,0.89223,1.27694,1.81868,0.0094555,0.0094555,0.0094555
13,533.409,1.16448,1.68206,2.19685,0.98338,0.97449,0.99062,0.80159,1.04782,1.26826,1.89116,0.009406,0.009406,0.009406
14,573.646,1.1626,1.65436,2.19115,0.98496,0.97868,0.99123,0.73784,1.31129,1.38054,1.99142,0.0093565,0.0093565,0.0093565
15,614.282,1.15071,1.62267,2.19123,0.9888,0.97439,0.992,0.81409,0.95007,1.225,1.86299,0.009307,0.009307,0.009307
16,655.21,1.13126,1.60272,2.16916,0.98877,0.96896,0.98995,0.83752,0.88335,1.20195,1.83217,0.0092575,0.0092575,0.0092575
17,695.169,1.12548,1.57019,2.16157,0.98349,0.97549,0.99097,0.85021,0.81037,1.17005,1.79737,0.009208,0.009208,0.009208
18,735.488,1.10914,1.554,2.15716,0.98698,0.97469,0.99257,0.83178,0.91788,1.18197,1.82838,0.0091585,0.0091585,0.0091585
19,775.796,1.11448,1.53006,2.16314,0.99235,0.97789,0.99295,0.7751,1.18686,1.25236,1.94041,0.009109,0.009109,0.009109
20,815.963,1.09461,1.50624,2.14118,0.99385,0.96874,0.99088,0.80074,1.08447,1.22467,1.88669,0.0090595,0.0090595,0.0090595
21,856.022,1.07707,1.47309,2.12701,0.98968,0.97261,0.99175,0.8142,1.0186,1.19562,1.84988,0.00901,0.00901,0.00901
22,896.052,1.07841,1.46725,2.13436,0.99117,0.9773,0.99271,0.66172,1.74708,1.43548,2.19977,0.0089605,0.0089605,0.0089605
23,936.083,1.06059,1.44577,2.1107,0.98819,0.97877,0.99219,0.7943,1.10235,1.23659,1.91465,0.008911,0.008911,0.008911
24,976.181,1.05009,1.41245,2.10212,0.99066,0.97598,0.99199,0.85112,0.8204,1.04808,1.8154,0.0088615,0.0088615,0.0088615
25,1015.8,1.05189,1.40759,2.10663,0.99171,0.97633,0.99201,0.82911,0.91363,1.08934,1.82319,0.008812,0.008812,0.008812
26,1055.7,1.04046,1.40765,2.10025,0.99038,0.97914,0.9931,0.83663,0.95359,1.10919,1.81617,0.0087625,0.0087625,0.0087625
27,1095.53,1.02955,1.39705,2.09258,0.99475,0.98068,0.99243,0.8446,0.86227,1.04903,1.78625,0.008713,0.008713,0.008713
28,1135.3,1.03813,1.3928,2.1024,0.99072,0.98171,0.99305,0.84926,0.86449,1.05376,1.80808,0.0086635,0.0086635,0.0086635
29,1174.94,1.02123,1.37155,2.09105,0.99269,0.97878,0.99383,0.8688,0.78099,0.99379,1.77219,0.008614,0.008614,0.008614
30,1215.51,1.00805,1.34669,2.07755,0.99026,0.97887,0.99291,0.82975,0.9403,1.04615,1.81813,0.0085645,0.0085645,0.0085645
31,1255.06,1.00184,1.3435,2.07595,0.99327,0.97951,0.99317,0.8518,0.86147,1.0225,1.79231,0.008515,0.008515,0.008515
32,1295.2,1.00463,1.33378,2.07952,0.9921,0.98093,0.99339,0.84453,0.93708,1.02304,1.80559,0.0084655,0.0084655,0.0084655
33,1335.16,0.99363,1.31906,2.06037,0.99293,0.98094,0.99356,0.87376,0.76393,0.96041,1.7588,0.008416,0.008416,0.008416
34,1375.95,0.98124,1.31319,2.05885,0.99076,0.9808,0.99335,0.84366,0.88286,0.99271,1.79067,0.0083665,0.0083665,0.0083665
35,1417.07,0.98607,1.30822,2.05958,0.99405,0.97966,0.99357,0.84373,0.91002,1.02023,1.79196,0.008317,0.008317,0.008317
36,1457.63,0.98186,1.29979,2.05644,0.99161,0.9804,0.99345,0.87412,0.72733,0.93414,1.74167,0.0082675,0.0082675,0.0082675
37,1498.67,0.97792,1.29457,2.05865,0.99293,0.97889,0.99373,0.88397,0.69719,0.91363,1.73557,0.008218,0.008218,0.008218
38,1539.06,0.96967,1.27613,2.04251,0.99207,0.98084,0.99367,0.88059,0.71398,0.92949,1.74847,0.0081685,0.0081685,0.0081685
39,1579.49,0.97084,1.26973,2.04491,0.9951,0.98018,0.99399,0.86394,0.80402,0.94258,1.76114,0.008119,0.008119,0.008119
40,1619.96,0.95982,1.26265,2.04069,0.99424,0.9833,0.9942,0.88131,0.74263,0.91426,1.73255,0.0080695,0.0080695,0.0080695
41,1660.71,0.96018,1.25389,2.03397,0.99412,0.98084,0.99384,0.90529,0.63947,0.8813,1.70949,0.00802,0.00802,0.00802
42,1701.66,0.95888,1.2703,2.03634,0.99336,0.98381,0.99396,0.87163,0.79942,0.92619,1.74912,0.0079705,0.0079705,0.0079705
43,1742.68,0.94588,1.24722,2.02082,0.9928,0.98346,0.99418,0.88641,0.72605,0.89414,1.72506,0.007921,0.007921,0.007921
44,1783.64,0.94944,1.24299,2.0292,0.99423,0.9828,0.99397,0.84947,0.90948,0.95036,1.7832,0.0078715,0.0078715,0.0078715
45,1824.7,0.94552,1.23765,2.02593,0.99371,0.98453,0.99408,0.86114,0.84946,0.92309,1.76186,0.007822,0.007822,0.007822
46,1865.45,0.93747,1.23272,2.0143,0.99017,0.98601,0.99419,0.87531,0.77183,0.87899,1.72709,0.0077725,0.0077725,0.0077725
47,1906.48,0.93915,1.22291,2.02082,0.99248,0.98276,0.99399,0.88555,0.72371,0.88205,1.7172,0.007723,0.007723,0.007723
48,1947.25,0.92996,1.21671,2.01734,0.99362,0.98182,0.99408,0.85343,0.90877,0.92617,1.77543,0.0076735,0.0076735,0.0076735
49,1988.02,0.9221,1.20628,2.01273,0.99077,0.9838,0.99383,0.90477,0.64254,0.8328,1.69743,0.007624,0.007624,0.007624
50,2028.16,0.91949,1.19833,2.01163,0.99368,0.97924,0.99369,0.92325,0.57962,0.8165,1.68172,0.0075745,0.0075745,0.0075745
51,2068.48,0.90789,1.18826,1.99694,0.99074,0.98599,0.99419,0.88221,0.7274,0.85775,1.71535,0.007525,0.007525,0.007525
52,2109.17,0.91345,1.19078,2.0018,0.99195,0.98278,0.99416,0.9081,0.63434,0.8268,1.68305,0.0074755,0.0074755,0.0074755
53,2149.85,0.91455,1.17974,2.00323,0.99356,0.98257,0.99407,0.91299,0.6098,0.82187,1.68014,0.007426,0.007426,0.007426
54,2190.98,0.9125,1.18479,2.00587,0.99382,0.97834,0.99406,0.90121,0.65556,0.82247,1.69142,0.0073765,0.0073765,0.0073765
55,2232.58,0.90091,1.1686,1.99149,0.99484,0.98111,0.99416,0.8916,0.69277,0.83362,1.70109,0.007327,0.007327,0.007327
56,2273.81,0.90357,1.16194,2.00407,0.99393,0.98193,0.99422,0.88184,0.73977,0.85386,1.7154,0.0072775,0.0072775,0.0072775
57,2313.84,0.89462,1.16139,1.99168,0.99226,0.9836,0.99413,0.89304,0.67884,0.83607,1.70173,0.007228,0.007228,0.007228
58,2355.06,0.89075,1.15694,1.98794,0.99357,0.98149,0.9942,0.90237,0.65652,0.81304,1.6938,0.0071785,0.0071785,0.0071785
59,2395.06,0.89977,1.15695,1.99026,0.99304,0.98505,0.99418,0.89838,0.65093,0.79998,1.69098,0.007129,0.007129,0.007129
60,2436.04,0.88498,1.13953,1.98124,0.99237,0.98335,0.99441,0.89523,0.68038,0.80403,1.69586,0.0070795,0.0070795,0.0070795
61,2476.65,0.87671,1.13092,1.97874,0.99541,0.98258,0.9943,0.91287,0.62259,0.78182,1.68228,0.00703,0.00703,0.00703
62,2517.54,0.88474,1.14941,1.98834,0.99267,0.98712,0.99425,0.90807,0.64147,0.78469,1.68606,0.0069805,0.0069805,0.0069805
63,2558.49,0.87794,1.12896,1.98202,0.99211,0.98799,0.99426,0.90362,0.64817,0.78709,1.69088,0.006931,0.006931,0.006931
64,2599.18,0.87666,1.13368,1.9782,0.99294,0.98444,0.99467,0.89778,0.67938,0.79433,1.69526,0.0068815,0.0068815,0.0068815
65,2640.95,0.86504,1.118,1.97081,0.99194,0.98546,0.99463,0.90761,0.63256,0.78839,1.68331,0.006832,0.006832,0.006832
66,2682.53,0.85772,1.12203,1.96774,0.99357,0.98512,0.99458,0.91048,0.62459,0.78585,1.68048,0.0067825,0.0067825,0.0067825
67,2723.79,0.86503,1.11763,1.97055,0.9909,0.98961,0.99458,0.91387,0.60825,0.77829,1.67419,0.006733,0.006733,0.006733
68,2765.12,0.85665,1.11288,1.96053,0.98905,0.99042,0.99429,0.91854,0.60268,0.76116,1.67248,0.0066835,0.0066835,0.0066835
69,2806.88,0.86116,1.11146,1.96911,0.99378,0.98343,0.99446,0.92096,0.58433,0.76595,1.66735,0.006634,0.006634,0.006634
70,2848.12,0.85063,1.09635,1.9621,0.98754,0.99167,0.99444,0.9232,0.57507,0.75936,1.66643,0.0065845,0.0065845,0.0065845
