epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6371,1.95529,7.83333,2.87965,0.81589,0.77985,0.86337,0.46327,2.02621,3.18955,2.68217,0.00332268,0.00332268,0.00332268
2,63.3447,1.56136,3.66844,2.52191,0.87064,0.90599,0.94911,0.61833,1.54306,2.47443,2.213,0.00662307,0.00662307,0.00662307
3,112.637,1.55191,3.42906,2.53245,0.88638,0.90028,0.95234,0.64295,1.56638,2.74005,2.33536,0.00989046,0.00989046,0.00989046
4,157.109,1.55348,3.28388,2.56253,0.93647,0.92473,0.9721,0.59803,1.79103,2.4196,2.52919,0.0098515,0.0098515,0.0098515
5,187.196,1.49151,2.92199,2.53412,0.94918,0.93283,0.97785,0.75629,1.17689,1.77906,2.06393,0.009802,0.009802,0.009802
6,217.736,1.43007,2.6789,2.4861,0.96567,0.94851,0.9819,0.70544,1.38526,1.80023,2.19754,0.0097525,0.0097525,0.0097525
7,248.249,1.38912,2.49849,2.43206,0.97562,0.96692,0.98679,0.64999,1.66374,1.70768,2.32934,0.009703,0.009703,0.009703
8,278.899,1.36585,2.35886,2.41321,0.97721,0.96008,0.9869,0.72927,1.2839,1.58812,2.12517,0.0096535,0.0096535,0.0096535
9,309.232,1.34076,2.28317,2.39347,0.98117,0.9714,0.99013,0.76517,1.13011,1.51974,1.97942,0.009604,0.009604,0.009604
10,338.939,1.3194,2.21847,2.37636,0.9849,0.97366,0.99143,0.76716,1.16999,1.36554,1.96673,0.0095545,0.0095545,0.0095545
11,380.036,1.29607,2.14518,2.34312,0.97777,0.96351,0.98764,0.81406,0.91502,1.31797,1.84424,0.009505,0.009505,0.009505
12,409.807,1.28092,2.08095,2.3386,0.9805,0.9766,0.99017,0.79427,1.06497,1.28796,1.92023,0.0094555,0.0094555,0.0094555
13,439.504,1.25895,2.04353,2.31262,0.98323,0.97052,0.9915,0.80617,1.01348,1.3019,1.88792,0.009406,0.009406,0.009406
14,469.436,1.24916,1.98993,2.29346,0.98704,0.97682,0.98946,0.82133,0.93405,1.13582,1.8311,0.0093565,0.0093565,0.0093565
15,499.715,1.22732,1.94929,2.28211,0.98662,0.97307,0.99059,0.79045,1.0838,1.21142,1.90749,0.009307,0.009307,0.009307
16,529.528,1.20384,1.90478,2.25844,0.9848,0.97505,0.99123,0.81364,0.95565,1.17851,1.82759,0.0092575,0.0092575,0.0092575
17,559.249,1.19939,1.89141,2.25406,0.98696,0.97321,0.99183,0.85051,0.80847,1.10534,1.80024,0.009208,0.009208,0.009208
18,589.707,1.195,1.86841,2.25493,0.98639,0.96951,0.99027,0.87209,0.70174,1.0822,1.76945,0.0091585,0.0091585,0.0091585
19,619.563,1.18768,1.85988,2.24696,0.99039,0.97431,0.99211,0.86658,0.72051,1.02251,1.74321,0.009109,0.009109,0.009109
20,649.355,1.16778,1.82381,2.23335,0.99115,0.97901,0.99128,0.76985,1.17413,1.22385,1.92899,0.0090595,0.0090595,0.0090595
21,679.159,1.16576,1.81713,2.23431,0.98748,0.97874,0.99236,0.86466,0.75539,1.04672,1.77005,0.00901,0.00901,0.00901
22,709.026,1.14844,1.77302,2.21536,0.99362,0.97819,0.99262,0.81486,0.99541,1.10035,1.84281,0.0089605,0.0089605,0.0089605
23,738.757,1.15593,1.78351,2.22781,0.98692,0.97924,0.99184,0.84415,0.88753,1.06767,1.79929,0.008911,0.008911,0.008911
24,768.541,1.13891,1.76602,2.21226,0.99197,0.98116,0.99234,0.81227,1.06493,1.12272,1.85353,0.0088615,0.0088615,0.0088615
25,798.274,1.12871,1.74754,2.20974,0.99142,0.98087,0.99329,0.83631,0.92415,1.02893,1.79617,0.008812,0.008812,0.008812
26,828.203,1.12566,1.7276,2.1956,0.99024,0.97908,0.9921,0.86544,0.76291,1.02258,1.76056,0.0087625,0.0087625,0.0087625
27,858.176,1.10209,1.69629,2.1698,0.9906,0.97646,0.99233,0.87244,0.70471,0.98343,1.73083,0.008713,0.008713,0.008713
28,887.927,1.10198,1.68266,2.16748,0.99183,0.98034,0.99314,0.84253,0.89965,1.00726,1.79323,0.0086635,0.0086635,0.0086635
29,917.745,1.10217,1.69076,2.17934,0.99428,0.98225,0.99374,0.86261,0.80635,0.98089,1.74991,0.008614,0.008614,0.008614
30,948.027,1.10001,1.67234,2.16575,0.98558,0.97879,0.99228,0.89093,0.67726,0.96681,1.72316,0.0085645,0.0085645,0.0085645
31,977.851,1.09207,1.66808,2.16877,0.98867,0.97962,0.99303,0.88289,0.68035,0.94536,1.71025,0.008515,0.008515,0.008515
32,1007.79,1.08686,1.64127,2.15366,0.99253,0.98178,0.99367,0.89053,0.68506,0.9087,1.70027,0.0084655,0.0084655,0.0084655
33,1037.67,1.08629,1.64126,2.15295,0.98891,0.98596,0.99348,0.89185,0.66814,0.88756,1.70612,0.008416,0.008416,0.008416
34,1067.49,1.08375,1.64163,2.1582,0.99596,0.98191,0.99371,0.88394,0.70976,0.91398,1.71459,0.0083665,0.0083665,0.0083665
35,1097.39,1.07508,1.62625,2.15245,0.99249,0.98177,0.99376,0.85883,0.83322,0.94449,1.75585,0.008317,0.008317,0.008317
36,1127.4,1.05417,1.59039,2.13171,0.99445,0.97988,0.99413,0.87774,0.76151,0.89289,1.73301,0.0082675,0.0082675,0.0082675
37,1157.24,1.06277,1.59619,2.13637,0.99409,0.9853,0.99376,0.8921,0.67998,0.89537,1.71793,0.008218,0.008218,0.008218
38,1187.05,1.05267,1.58294,2.1294,0.99389,0.98364,0.99375,0.8701,0.79819,0.93319,1.72966,0.0081685,0.0081685,0.0081685
39,1217,1.05424,1.578,2.13082,0.99514,0.98041,0.99381,0.90521,0.63579,0.84494,1.6877,0.008119,0.008119,0.008119
40,1246.8,1.05389,1.57204,2.11391,0.9946,0.97991,0.99398,0.89903,0.65904,0.86604,1.68453,0.0080695,0.0080695,0.0080695
41,1276.07,1.04017,1.55761,2.11268,0.99544,0.98186,0.99402,0.89978,0.65327,0.82728,1.67697,0.00802,0.00802,0.00802
42,1305.57,1.03505,1.5519,2.10909,0.99409,0.9839,0.99373,0.88777,0.71661,0.83651,1.69357,0.0079705,0.0079705,0.0079705
43,1334.65,1.03365,1.54567,2.11153,0.99425,0.98265,0.99402,0.89847,0.67259,0.81913,1.68016,0.007921,0.007921,0.007921
44,1363.73,1.02209,1.51846,2.09839,0.99511,0.98181,0.99419,0.91522,0.61396,0.81242,1.67276,0.0078715,0.0078715,0.0078715
45,1393.09,1.04253,1.53326,2.11459,0.99522,0.98384,0.994,0.91228,0.61443,0.8057,1.67036,0.007822,0.007822,0.007822
46,1422.5,1.02981,1.5254,2.10395,0.99487,0.98181,0.99384,0.89065,0.71692,0.83066,1.70235,0.0077725,0.0077725,0.0077725
47,1451.87,1.0237,1.53385,2.10207,0.99196,0.98608,0.99404,0.90456,0.64559,0.81077,1.6745,0.007723,0.007723,0.007723
48,1481.18,1.01751,1.52328,2.09713,0.9951,0.98443,0.99415,0.90178,0.66108,0.81302,1.67586,0.0076735,0.0076735,0.0076735
49,1510.49,1.01184,1.51118,2.08868,0.99236,0.98837,0.99418,0.88692,0.72007,0.81649,1.69668,0.007624,0.007624,0.007624
50,1539.72,1.00973,1.51047,2.0934,0.99206,0.98895,0.99444,0.91044,0.6227,0.76985,1.67302,0.0075745,0.0075745,0.0075745
51,1569.15,1.00135,1.48583,2.08573,0.9964,0.98124,0.99421,0.89233,0.69722,0.79806,1.68268,0.007525,0.007525,0.007525
52,1598.46,1.00242,1.48507,2.08206,0.99412,0.98398,0.99442,0.90873,0.63264,0.76553,1.66948,0.0074755,0.0074755,0.0074755
53,1627.62,0.99975,1.48622,2.08042,0.99303,0.98588,0.9944,0.92266,0.57882,0.75611,1.65763,0.007426,0.007426,0.007426
54,1656.88,0.98428,1.4645,2.06703,0.99626,0.98126,0.99459,0.91381,0.62786,0.76752,1.66491,0.0073765,0.0073765,0.0073765
55,1686.76,0.99204,1.46306,2.0717,0.99482,0.98823,0.99474,0.90494,0.65544,0.76091,1.67128,0.007327,0.007327,0.007327
56,1716.73,0.98263,1.47151,2.0708,0.99316,0.98819,0.99468,0.91199,0.62521,0.75212,1.66687,0.0072775,0.0072775,0.0072775
57,1746.67,0.98252,1.44992,2.06703,0.99533,0.98689,0.99472,0.92086,0.59515,0.73668,1.65589,0.007228,0.007228,0.007228
58,1776.64,0.98499,1.46848,2.07207,0.99601,0.98591,0.99443,0.91716,0.6022,0.7428,1.65345,0.0071785,0.0071785,0.0071785
59,1806.59,0.97911,1.43207,2.06568,0.99593,0.98574,0.99465,0.92387,0.58451,0.73223,1.65548,0.007129,0.007129,0.007129
60,1836.67,0.97519,1.45592,2.06452,0.99539,0.98505,0.99436,0.92539,0.58212,0.72999,1.65085,0.0070795,0.0070795,0.0070795
61,1866.55,0.9724,1.44144,2.06136,0.99347,0.98646,0.99451,0.92589,0.58053,0.73024,1.64681,0.00703,0.00703,0.00703
62,1896.39,0.96464,1.41366,2.04823,0.99534,0.98519,0.99452,0.92523,0.57693,0.72336,1.64628,0.0069805,0.0069805,0.0069805
63,1926.33,0.97034,1.4373,2.05504,0.99526,0.9849,0.99452,0.9236,0.58601,0.72417,1.64666,0.006931,0.006931,0.006931
64,1956.21,0.97626,1.43656,2.06164,0.99602,0.9853,0.99453,0.92479,0.58651,0.72387,1.64608,0.0068815,0.0068815,0.0068815
65,1986.03,0.96213,1.43367,2.05494,0.99519,0.98445,0.99441,0.92182,0.59251,0.71879,1.65148,0.006832,0.006832,0.006832
66,2016.03,0.95559,1.41764,2.04731,0.98985,0.9894,0.99452,0.91019,0.62908,0.72857,1.65529,0.0067825,0.0067825,0.0067825
67,2045.91,0.95504,1.41032,2.04691,0.99354,0.98918,0.99461,0.92763,0.56863,0.69758,1.63982,0.006733,0.006733,0.006733
68,2075.84,0.95799,1.40694,2.05516,0.99334,0.98864,0.99461,0.92935,0.55959,0.69563,1.63612,0.0066835,0.0066835,0.0066835
69,2105.72,0.95472,1.41304,2.04842,0.99419,0.98786,0.99465,0.92665,0.56621,0.692,1.63767,0.006634,0.006634,0.006634
70,2135.73,0.9419,1.37916,2.02742,0.99127,0.99016,0.99435,0.92403,0.56829,0.69824,1.63977,0.0065845,0.0065845,0.0065845
71,2165.7,0.94011,1.4,2.02899,0.99171,0.99077,0.99438,0.92284,0.57954,0.69989,1.63947,0.006535,0.006535,0.006535
72,2195.83,0.94601,1.39754,2.0391,0.9917,0.99002,0.99436,0.92262,0.57936,0.70249,1.63985,0.0064855,0.0064855,0.0064855
73,2225.65,0.95012,1.40577,2.04504,0.98956,0.99231,0.9945,0.92396,0.57499,0.69705,1.63962,0.006436,0.006436,0.006436
74,2255.41,0.93777,1.38471,2.03284,0.99405,0.98817,0.99454,0.92322,0.57804,0.69836,1.63957,0.0063865,0.0063865,0.0063865
75,2285.37,0.93416,1.38021,2.03519,0.99318,0.99078,0.99466,0.92852,0.56351,0.69323,1.63744,0.006337,0.006337,0.006337
76,2315.33,0.92852,1.38234,2.0288,0.99327,0.99127,0.99471,0.93137,0.55438,0.6866,1.63498,0.0062875,0.0062875,0.0062875
77,2345.02,0.93653,1.37829,2.03884,0.99349,0.99069,0.99466,0.93288,0.552,0.68961,1.63582,0.006238,0.006238,0.006238
78,2374.97,0.93251,1.38037,2.0317,0.99382,0.99069,0.99473,0.93258,0.55238,0.68688,1.63533,0.0061885,0.0061885,0.0061885
79,2404.47,0.92691,1.37254,2.02509,0.99496,0.99102,0.99478,0.93275,0.54504,0.67979,1.63323,0.006139,0.006139,0.006139
80,2433.7,0.92433,1.35451,2.02287,0.99397,0.9912,0.99478,0.93584,0.54219,0.67602,1.63134,0.0060895,0.0060895,0.0060895
81,2463.66,0.92385,1.36592,2.02463,0.99481,0.99042,0.99452,0.93439,0.54195,0.67365,1.63088,0.00604,0.00604,0.00604
82,2493.63,0.93004,1.36974,2.02756,0.99505,0.99051,0.99476,0.93541,0.53587,0.67162,1.62891,0.0059905,0.0059905,0.0059905
83,2523.66,0.9197,1.36708,2.01876,0.99507,0.9907,0.99483,0.94135,0.51792,0.66081,1.62378,0.005941,0.005941,0.005941
84,2553.91,0.91261,1.34571,2.01701,0.99554,0.98962,0.99474,0.94453,0.50005,0.6559,1.62139,0.0058915,0.0058915,0.0058915
85,2583.8,0.90462,1.33156,2.00463,0.99681,0.98753,0.99476,0.94493,0.50026,0.6561,1.6213,0.005842,0.005842,0.005842
86,2613.23,0.90767,1.33848,2.01593,0.99692,0.98684,0.99474,0.94627,0.49838,0.65242,1.62015,0.0057925,0.0057925,0.0057925
87,2643.16,0.91284,1.34473,2.01408,0.99647,0.98693,0.9947,0.94749,0.49183,0.64906,1.61824,0.005743,0.005743,0.005743
88,2672.8,0.89924,1.33375,2.00144,0.99731,0.98641,0.99475,0.94909,0.48828,0.64629,1.61638,0.0056935,0.0056935,0.0056935
89,2702.04,0.90666,1.34971,2.01061,0.99704,0.98627,0.99475,0.94938,0.48795,0.64423,1.6154,0.005644,0.005644,0.005644
90,2732.34,0.90557,1.33285,2.00926,0.99637,0.98683,0.99475,0.94957,0.48833,0.6431,1.61525,0.0055945,0.0055945,0.0055945
91,2762.27,0.89936,1.33777,2.01168,0.99605,0.98779,0.99477,0.94961,0.4872,0.64118,1.61512,0.005545,0.005545,0.005545
92,2791.49,0.88646,1.30206,1.99661,0.99518,0.98788,0.9948,0.94673,0.49515,0.64252,1.61608,0.0054955,0.0054955,0.0054955
