epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2366,0.61332,2.15079,0.96309,0.81732,0.87184,0.91883,0.83302,0.43891,0.63723,0.868,0.00332268,0.00332268,0.00332268
2,59.1316,0.57926,0.80833,0.93317,0.98513,0.96981,0.98979,0.90067,0.4116,0.44538,0.85087,0.00663954,0.00663954,0.00663954
3,87.3713,0.59712,0.7399,0.94801,0.8938,0.85217,0.95335,0.86379,0.44452,0.75297,0.88471,0.0099399,0.0099399,0.0099399
4,115.427,0.59419,0.70011,0.95639,0.94313,0.959,0.98025,0.90345,0.39455,0.47107,0.87428,0.00992575,0.00992575,0.00992575
5,143.435,0.54247,0.59324,0.93934,0.98202,0.97815,0.99151,0.93074,0.37139,0.36659,0.85743,0.009901,0.009901,0.009901
6,171.577,0.51346,0.52699,0.93207,0.98401,0.97305,0.98925,0.93091,0.36248,0.33547,0.85189,0.00987625,0.00987625,0.00987625
7,199.637,0.50085,0.48196,0.92739,0.96569,0.95796,0.98833,0.93212,0.35628,0.40765,0.85756,0.0098515,0.0098515,0.0098515
8,227.676,0.47828,0.45006,0.92201,0.97321,0.96181,0.9868,0.93216,0.35775,0.34872,0.86138,0.00982675,0.00982675,0.00982675
9,255.805,0.47016,0.42903,0.91842,0.91231,0.66272,0.81629,0.757,0.45,1.30819,0.92259,0.009802,0.009802,0.009802
10,283.854,0.45831,0.41533,0.91394,0.99178,0.975,0.99042,0.94886,0.31786,0.28764,0.84127,0.00977725,0.00977725,0.00977725
11,311.899,0.44271,0.3904,0.90657,0.99339,0.98015,0.99266,0.96399,0.28249,0.25333,0.82518,0.0097525,0.0097525,0.0097525
12,340.07,0.43754,0.38125,0.90815,0.98833,0.97735,0.9925,0.95617,0.3043,0.26459,0.82908,0.00972775,0.00972775,0.00972775
13,368.102,0.43456,0.37643,0.90755,0.99148,0.98263,0.99382,0.96551,0.28853,0.24888,0.82407,0.009703,0.009703,0.009703
14,396.148,0.4347,0.37152,0.90823,0.99377,0.98294,0.99384,0.96412,0.28315,0.25125,0.82789,0.00967825,0.00967825,0.00967825
15,424.321,0.42344,0.3585,0.90449,0.99191,0.98343,0.99388,0.96635,0.27709,0.23624,0.82369,0.0096535,0.0096535,0.0096535
16,452.35,0.42281,0.35638,0.90147,0.99283,0.98338,0.9933,0.9646,0.28031,0.23005,0.82232,0.00962875,0.00962875,0.00962875
17,480.426,0.41497,0.34509,0.89968,0.99181,0.9814,0.99351,0.96916,0.25911,0.22205,0.81443,0.009604,0.009604,0.009604
18,508.63,0.41377,0.34337,0.9012,0.98388,0.96264,0.98823,0.96327,0.27575,0.28869,0.82189,0.00957925,0.00957925,0.00957925
19,536.676,0.40702,0.33659,0.89637,0.99385,0.98435,0.99427,0.96768,0.29577,0.22949,0.82868,0.0095545,0.0095545,0.0095545
20,564.731,0.41164,0.33449,0.89776,0.99277,0.98662,0.99359,0.97109,0.26389,0.21693,0.81563,0.00952975,0.00952975,0.00952975
21,592.906,0.40411,0.32945,0.89474,0.99129,0.98716,0.99409,0.974,0.24805,0.21335,0.8119,0.009505,0.009505,0.009505
22,620.997,0.40107,0.32668,0.89341,0.99281,0.97888,0.99349,0.96658,0.2833,0.23501,0.81961,0.00948025,0.00948025,0.00948025
23,649.071,0.3947,0.32169,0.8909,0.99628,0.98723,0.9942,0.97595,0.24022,0.20186,0.80999,0.0094555,0.0094555,0.0094555
24,677.189,0.39611,0.32362,0.89414,0.99341,0.98433,0.99384,0.97526,0.25093,0.20165,0.80934,0.00943075,0.00943075,0.00943075
25,705.252,0.38942,0.31459,0.88951,0.96928,0.95731,0.98925,0.96411,0.26895,0.31142,0.81956,0.009406,0.009406,0.009406
